date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_KT
2025-09-04,28.79,33.86,25.69,1.36,2.41,74.79,6.2357,-999.0
2025-09-05,28.81,33.11,25.6,1.43,2.72,74.56,6.2196,-999.0
2025-09-06,28.97,33.63,26.13,0.27,3.1,73.8,6.2911,-999.0
2025-09-07,27.99,32.06,25.25,1.63,3.11,78.5,6.2438,-999.0
2025-09-08,27.94,30.99,26.07,9.31,2.59,77.52,5.5558,-999.0
2025-09-09,27.38,31.0,25.91,36.7,3.35,83.47,4.4544,-999.0
2025-09-10,26.52,28.75,25.25,62.0,2.51,86.2,1.7131,-999.0
2025-09-11,27.28,30.4,24.91,0.54,2.0,81.34,5.7432,-999.0
2025-09-12,27.66,30.81,25.62,0.56,2.95,81.05,5.0969,-999.0
2025-09-13,27.99,31.39,25.41,0.22,3.41,79.95,5.8531,-999.0
2025-09-14,28.33,32.14,25.65,0.03,4.06,77.61,5.9686,-999.0
2025-09-15,28.51,32.3,26.08,0.17,4.66,77.62,5.9443,-999.0
2025-09-16,28.54,31.81,26.41,0.29,3.35,79.94,6.0204,-999.0
2025-09-17,28.28,32.17,26.1,0.36,2.39,80.84,5.9736,-999.0
2025-09-18,27.69,31.5,25.43,0.08,2.51,79.54,6.0518,-999.0
2025-09-19,27.4,30.81,25.21,0.22,2.83,78.28,5.747,-999.0
2025-09-20,27.64,31.36,25.17,0.02,2.96,77.06,5.7624,-999.0
2025-09-21,27.33,31.03,24.67,0.0,3.25,79.01,5.8351,-999.0
2025-09-22,27.36,30.91,24.92,0.02,3.59,78.6,5.6602,-999.0
2025-09-23,27.6,31.12,25.16,0.08,3.61,78.39,5.7842,-999.0
2025-09-24,28.0,31.5,26.13,0.34,3.06,77.78,5.7418,-999.0
2025-09-25,27.91,31.69,25.7,0.52,2.31,78.8,5.6227,-999.0
2025-09-26,27.7,31.99,25.05,0.0,2.32,79.32,5.6287,-999.0
2025-09-27,28.37,33.28,24.94,0.0,2.06,73.92,5.7024,-999.0
2025-09-28,29.14,34.36,25.43,0.0,2.06,70.36,-999.0,-999.0
2025-09-29,31.41,38.07,25.92,0.0,1.74,56.41,-999.0,-999.0
2025-09-30,30.91,36.55,26.18,0.04,1.73,60.63,-999.0,-999.0
2025-10-01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025-10-03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
